seed,return,length,early_term,ey_rms,epsi_rms,theta_rms,theta_max,theta_dot_rms,control_energy,u_lqr_mean,u_lqr_max,u_stanley_mean,u_stanley_max,u_total_mean,u_total_max
12,76.97432182968166,1500,False,2.935917536560195,1.1269817485952047,1.5028452998275112,1.57,3.9387938181420012,6259.749743090357,0.0,0.0,0.31579520389558896,1.9891785483151727,71.9907784677745,256.27830075492756
13,70.13262759174012,1500,False,2.98125645017123,1.1349305929106788,1.5147695748496974,1.57,3.989170404091157,6363.844387862695,0.0,0.0,0.32515876079308886,1.9903888674478691,73.18547078003552,256.31320426253586
14,59.385028585478395,1500,False,2.9965774306964374,1.2055073140369785,1.5189807594100528,1.57,4.151355575392238,6821.321059243999,0.0,0.0,0.363972908747525,2.0369602841991554,75.38816488980503,261.72575985766514
15,76.13960273531963,1500,False,2.9764914572965977,1.1361786730541548,1.529387176162179,1.57,4.033694261033955,6513.827713134042,0.0,0.0,0.32587805737602077,1.988648187102413,74.735994974649,256.41590497010696
16,66.24610861961615,1500,False,3.0049102863701034,1.1969789220539768,1.5331614073409194,1.57,4.172324381797929,6879.2589000081,0.0,0.0,0.36146320436694196,2.016996763723251,76.51725077191979,260.861998847006
17,56.48526489739949,1500,False,3.019276876805837,1.2345429878662644,1.5278206470758244,1.57,4.245711912756528,7041.330686147406,0.0,0.0,0.38257289879721307,2.024567726159024,76.93772500739067,264.16704295149475
18,70.99137717664539,1500,False,2.9878426887209115,1.1630046409463106,1.5173807217877509,1.57,4.034518120690275,6545.432460638766,0.0,0.0,0.34422883236461255,2.0044897745550463,73.95885513612566,258.41756758446104
19,79.42205980561612,1500,False,2.970015421374499,1.126608928611652,1.5188321975832777,1.57,3.9771943235172564,6365.665837343621,0.0,0.0,0.3225380323187096,1.9903773021236164,73.32607310286647,255.72258717153142
20,66.18381914397439,1500,False,2.9997524008199004,1.194417882151716,1.5219779071739936,1.57,4.130247321774323,6747.0228520208575,0.0,0.0,0.3607154949786891,2.0155133014819953,75.17324081613184,260.552806758539
21,63.14136955374316,1500,False,2.979749296655601,1.1723524435962427,1.5143365756104232,1.57,4.062304677787762,6589.911546801221,0.0,0.0,0.34399396194933857,2.0006945334191064,74.11470552548211,259.0772296653201
22,57.44657966782132,1500,False,3.016385603715416,1.2397154418905976,1.5290355290629822,1.57,4.2381122055630644,7033.5822979123795,0.0,0.0,0.383037754340849,2.0278404247030455,76.92809885924048,263.48572272886594
23,69.05609628261837,1500,False,2.9988463458457293,1.170353318160495,1.5345280901283858,1.57,4.101208108886256,6742.361123682663,0.0,0.0,0.34555169783686296,2.020765996067752,76.00591171407595,258.84077412876945
24,-16.865989400466333,342,True,2.964623256195812,1.5465987972103221,1.3683079851966922,1.57,3.652914307763168,6830.049950629544,0.0,0.0,0.6718663552450593,1.9650307756321006,61.402735771474305,261.1984672614319
