step,theta,theta_dot,target_theta,tracking_err,u_lqr,epsilon,action,reward
150,-0.0772953763623927,-0.001826930056703245,-0.05817178589192784,0.019123590470464857,0.8678775892279895,-0.5,-35.33702087402344,-0.15474704965340177
151,-0.0773537553737603,-0.0016419896711673868,-0.05817178589192784,0.019181969481832456,0.8677584115920796,-0.5,-35.32935333251953,-0.15484798924244655
152,-0.07740622300530915,-0.0014756622516706327,-0.05817178589192784,0.01923443711338131,0.8676440777852438,-0.5,-35.322452545166016,-0.15493869675475067
153,-0.07745337489377042,-0.0013261223150898525,-0.05817178589192784,0.019281589001842583,0.8675355080486884,-0.5,-35.31624984741211,-0.15502020779175663
154,-0.07749574807073174,-0.0011917102049467745,-0.05817178589192784,0.019323962178803902,0.8674334079325597,-0.5,-35.310672760009766,-0.15509345482867215
155,-0.07753382632140178,-0.0010709195870626557,-0.05817178589192784,0.01936204042947394,0.8673382485093012,-0.5,-35.30565643310547,-0.15515927687282674
156,-0.07756804513629269,-0.0009623856372261335,-0.05817178589192784,0.019396259244364847,0.8672502741614831,-0.5,-35.30115509033203,-0.15521842836933758
157,-0.07759879627718104,-0.0008648738124512756,-0.05817178589192784,0.0194270103852532,0.8671695270739969,-0.5,-35.29710388183594,-0.155271587385873
158,-0.07762643197605583,-0.000777269162324923,-0.05817178589192784,0.01945464608412799,0.8670958803919766,-0.5,-35.2934684753418,-0.1553193631091027
159,-0.07765126878488962,-0.000698566175013831,-0.05817178589192784,0.01947948289296178,0.8670290743510725,-0.5,-35.290199279785156,-0.15536230268736373
160,-0.07767359109419071,-0.0006278591714609055,-0.05817178589192784,0.01950180520226287,0.8669687515654584,-0.5,-35.287261962890625,-0.15540089745625554
161,-0.077693654338859,-0.000564333267313892,-0.05817178589192784,0.019521868446931157,0.8669144891140518,-0.5,-35.28462600708008,-0.155435588585752
162,-0.07771168791051147,-0.0005072559199590415,-0.05817178589192784,0.019539902018583633,0.8668658261528702,-0.5,-35.28225326538086,-0.15546677218867339
163,-0.07772789779594295,-0.00045596907122197366,-0.05817178589192784,0.019556111904015114,0.8668222865609696,-0.5,-35.280128479003906,-0.15549480393087847
164,-0.07774246896162604,-0.0004098818873857244,-0.05817178589192784,0.019570683069698197,0.8667833966581128,-0.5,-35.2782096862793,-0.15552000318330447
165,-0.07775556750408573,-0.0003684640888876544,-0.05817178589192784,0.01958378161215789,0.8667486983681206,-0.5,-35.276493072509766,-0.15554265675507556
166,-0.07776734258561296,-0.0003312398534881409,-0.05817178589192784,0.019595556693685123,0.8667177583906978,-0.5,-35.27494430541992,-0.15556302224542756
167,-0.07777792817414063,-0.0002977822694760275,-0.05817178589192784,0.019606142282212788,0.866690174026534,-0.5,-35.2735595703125,-0.1555813310502827
168,-0.07778744460524543,-0.000267708309868684,-0.05817178589192784,0.019615658713317594,0.8666655763087646,-0.5,-35.272308349609375,-0.1555977910570891
169,-0.07779599998321322,-0.00024067429462195793,-0.05817178589192784,0.019624214091285383,0.8666436310541731,-0.5,-35.27118682861328,-0.15561258905912534
170,-0.0778036914369702,-0.00021637180548089117,-0.05817178589192784,0.019631905545042364,0.8666240383801382,-0.5,-35.270172119140625,-0.15562589291797144
171,-0.07781060624548589,-0.00019452401708109358,-0.05817178589192784,0.019638820353558045,0.8666065311523483,-0.5,-35.26926803588867,-0.15563785350034148
172,-0.07781682284603915,-0.00017488240801767323,-0.05817178589192784,0.01964503695411131,0.8665908727443963,-0.5,-35.26844787597656,-0.15564860641303244
173,-0.07782241173753991,-0.0001572238165888329,-0.05817178589192784,0.01965062584561207,0.8665768544100698,-0.5,-35.267723083496094,-0.15565827355741002
174,-0.07782743628994285,-0.0001413478075630974,-0.05817178589192784,0.019655650398015007,0.8665642924966331,-0.5,-35.26705551147461,-0.15566696452266676
175,-0.07783195346969445,-0.0001270743184046317,-0.05817178589192784,0.019660167577766605,0.8665530256647728,-0.5,-35.26646423339844,-0.15567477783506073
176,-0.07783601449013278,-0.00011424155574501451,-0.05817178589192784,0.019664228598204936,0.8665429122288472,-0.5,-35.265933990478516,-0.1556818020784911
177,-0.07783966539481904,-0.0001027041153685994,-0.05817178589192784,0.0196678795028912,0.8665338276894078,-0.5,-35.26545333862305,-0.15568811690009277
178,-0.0778429475809215,-9.233130147160902e-05,-0.05817178589192784,0.01967116168899366,0.8665256624976011,-0.5,-35.26502227783203,-0.15569379391301905
179,-0.07784589826899696,-8.300562337961275e-05,-0.05817178589192784,0.01967411237706912,0.8665183200672095,-0.5,-35.2646369934082,-0.15569889750723837
180,-0.07784855092481914,-7.462145020771445e-05,-0.05817178589192784,0.0196767650328913,0.8665117150330427,-0.5,-35.264286041259766,-0.15570348557797087
181,-0.07785093563828124,-6.708380608548073e-05,-0.05817178589192784,0.019679149746353403,0.8665057717430072,-0.5,-35.26397705078125,-0.15570761018032886
182,-0.0778530794638476,-6.030729052489258e-05,-0.05817178589192784,0.019681293571919764,0.8665004229643501,-0.5,-35.26369094848633,-0.15571131811778782
183,-0.07785500672653918,-5.421511027724978e-05,-0.05817178589192784,0.01968322083461134,0.866495608780959,-0.5,-35.2634391784668,-0.1557146514712838
