model,horizon,state,unit,mae_mean,mae_std,n_seeds,first_exceed_1sigma,first_exceed_2sigma,first_exceed_3sigma,endpoint_error_mean,requested_horizon,actual_survival_steps
gp_ensemble_5_0,50,phi,rad,0.000000,0.000000,5,NaN,NaN,NaN,NaN,50,50
gp_ensemble_5_0,50,delta,rad,0.000000,0.000000,5,NaN,NaN,NaN,NaN,50,50
gp_ensemble_5_0,50,phi_dot,rad/s,0.000000,0.000000,5,NaN,NaN,NaN,NaN,50,50
gp_ensemble_5_0,50,delta_dot,rad/s,0.000000,0.000000,5,NaN,NaN,NaN,NaN,50,50
gp_ensemble_5_0,100,phi,rad,0.000000,0.000000,5,NaN,NaN,NaN,NaN,100,100
gp_ensemble_5_0,100,delta,rad,0.000000,0.000000,5,NaN,NaN,NaN,NaN,100,100
gp_ensemble_5_0,100,phi_dot,rad/s,0.000000,0.000000,5,NaN,NaN,NaN,NaN,100,100
gp_ensemble_5_0,100,delta_dot,rad/s,0.000000,0.000000,5,NaN,NaN,NaN,NaN,100,100
gp_ensemble_5_0,500,phi,rad,0.000000,0.000000,5,NaN,NaN,NaN,NaN,500,500
gp_ensemble_5_0,500,delta,rad,0.000000,0.000000,5,NaN,NaN,NaN,NaN,500,500
gp_ensemble_5_0,500,phi_dot,rad/s,0.000000,0.000000,5,NaN,NaN,NaN,NaN,500,500
gp_ensemble_5_0,500,delta_dot,rad/s,0.000000,0.000000,5,NaN,NaN,NaN,NaN,500,500
gp_ensemble_5_0,1000,phi,rad,0.000000,0.000000,5,NaN,NaN,NaN,NaN,1000,1000
gp_ensemble_5_0,1000,delta,rad,0.000000,0.000000,5,NaN,NaN,NaN,NaN,1000,1000
gp_ensemble_5_0,1000,phi_dot,rad/s,0.000000,0.000000,5,NaN,NaN,NaN,NaN,1000,1000
gp_ensemble_5_0,1000,delta_dot,rad/s,0.000000,0.000000,5,NaN,NaN,NaN,NaN,1000,1000
gp_ensemble_5_3,10,phi,rad,0.054567,0.056702,5,NaN,NaN,NaN,0.099226,10,10
gp_ensemble_5_3,10,delta,rad,0.056870,0.061484,5,5.0,NaN,NaN,0.120454,10,10
gp_ensemble_5_3,10,phi_dot,rad/s,0.058673,0.042250,5,NaN,NaN,NaN,0.070339,10,10
gp_ensemble_5_3,10,delta_dot,rad/s,0.156416,0.203795,5,3.0,NaN,NaN,0.239956,10,10
gp_ensemble_5_3,50,phi,rad,0.106722,0.034374,5,46.0,NaN,NaN,0.204726,50,50
gp_ensemble_5_3,50,delta,rad,0.133274,0.063892,5,15.0,20.0,NaN,0.052664,50,50
gp_ensemble_5_3,50,phi_dot,rad/s,0.411616,0.139319,5,39.0,NaN,NaN,0.697496,50,50
gp_ensemble_5_3,50,delta_dot,rad/s,0.381988,0.097410,5,30.6,NaN,NaN,0.805632,50,50
gp_ensemble_5_3,100,phi,rad,0.130236,0.027921,5,46.0,NaN,NaN,0.107168,100,100
gp_ensemble_5_3,100,delta,rad,0.115805,0.041914,5,15.0,20.0,NaN,0.107563,100,100
gp_ensemble_5_3,100,phi_dot,rad/s,0.403901,0.084515,5,39.0,NaN,NaN,0.373868,100,100
gp_ensemble_5_3,100,delta_dot,rad/s,0.493644,0.069024,5,30.6,58.0,NaN,0.441927,100,100
gp_ensemble_5_3,500,phi,rad,0.145882,0.039977,5,46.0,NaN,NaN,0.156149,500,500
gp_ensemble_5_3,500,delta,rad,0.113486,0.053852,5,15.0,20.0,NaN,0.092716,500,500
gp_ensemble_5_3,500,phi_dot,rad/s,0.415414,0.080055,5,170.0,NaN,NaN,0.532052,500,500
gp_ensemble_5_3,500,delta_dot,rad/s,0.559349,0.093580,5,30.6,83.0,NaN,0.604086,500,500
gp_ensemble_5_3,1000,phi,rad,0.148982,0.043048,5,46.0,NaN,NaN,0.127910,1000,1000
gp_ensemble_5_3,1000,delta,rad,0.113657,0.057458,5,15.0,20.0,NaN,0.118769,1000,1000
gp_ensemble_5_3,1000,phi_dot,rad/s,0.417323,0.082332,5,170.0,NaN,NaN,0.253460,1000,1000
gp_ensemble_5_3,1000,delta_dot,rad/s,0.571112,0.100451,5,30.6,83.0,NaN,0.505661,1000,1000
gp_ensemble_7_5,10,phi,rad,0.053788,0.026301,5,NaN,NaN,NaN,0.075252,10,10
gp_ensemble_7_5,10,delta,rad,0.074692,0.065685,5,3.0,NaN,NaN,0.125123,10,10
gp_ensemble_7_5,10,phi_dot,rad/s,0.085460,0.045584,5,NaN,NaN,NaN,0.183829,10,10
gp_ensemble_7_5,10,delta_dot,rad/s,0.151100,0.093666,5,3.0,NaN,NaN,0.183895,10,10
gp_ensemble_7_5,50,phi,rad,0.097142,0.056315,5,41.0,NaN,NaN,0.117646,50,50
gp_ensemble_7_5,50,delta,rad,0.110735,0.042113,5,18.7,NaN,NaN,0.106621,50,50
gp_ensemble_7_5,50,phi_dot,rad/s,0.303259,0.184536,5,38.0,NaN,NaN,0.341762,50,50
